"Time","Fetch"
2021-12-01 15:39:20,0 B
2021-12-01 15:39:40,0 B
2021-12-01 15:40:00,0 B
2021-12-01 15:40:20,0 B
2021-12-01 15:40:40,0 B
2021-12-01 15:41:00,0 B
2021-12-01 15:41:20,0 B
2021-12-01 15:41:40,0 B
2021-12-01 15:42:00,0 B
2021-12-01 15:42:20,0 B
2021-12-01 15:42:40,0 B
2021-12-01 15:43:00,0 B
2021-12-01 15:43:20,0 B
2021-12-01 15:43:40,0 B
2021-12-01 15:44:00,0 B
2021-12-01 15:44:20,0 B
2021-12-01 15:44:40,0 B
2021-12-01 15:45:00,0 B
2021-12-01 15:45:20,0 B
2021-12-01 15:45:40,0 B
2021-12-01 15:46:00,0 B
2021-12-01 15:46:20,0 B
2021-12-01 15:46:40,0 B
2021-12-01 15:47:00,0 B
2021-12-01 15:47:20,0 B
2021-12-01 15:47:40,0 B
2021-12-01 15:48:00,720 MB
2021-12-01 15:48:20,5.60 GB
2021-12-01 15:48:40,10.1 GB
2021-12-01 15:49:00,10.2 GB
2021-12-01 15:49:20,10.8 GB
2021-12-01 15:49:40,11.3 GB
2021-12-01 15:50:00,11.1 GB
2021-12-01 15:50:20,11.3 GB
2021-12-01 15:50:40,11.9 GB
2021-12-01 15:51:00,12.5 GB
2021-12-01 15:51:20,12.4 GB
2021-12-01 15:51:40,12.6 GB
2021-12-01 15:52:00,12.3 GB
2021-12-01 15:52:20,12.7 GB
2021-12-01 15:52:40,13.2 GB
2021-12-01 15:53:00,13.0 GB
2021-12-01 15:53:20,12.8 GB
2021-12-01 15:53:40,12.8 GB
2021-12-01 15:54:00,12.7 GB
2021-12-01 15:54:20,10.4 GB
2021-12-01 15:54:40,3.90 GB
2021-12-01 15:55:00,162 MB
2021-12-01 15:55:20,0 B
2021-12-01 15:55:40,0 B
2021-12-01 15:56:00,0 B
2021-12-01 15:56:20,0 B
2021-12-01 15:56:40,0 B
2021-12-01 15:57:00,0 B
2021-12-01 15:57:20,0 B
2021-12-01 15:57:40,0 B
2021-12-01 15:58:00,0 B
2021-12-01 15:58:20,0 B
2021-12-01 15:58:40,0 B
2021-12-01 15:59:00,0 B
2021-12-01 15:59:20,0 B
2021-12-01 15:59:40,0 B
2021-12-01 16:00:00,0 B
2021-12-01 16:00:20,0 B
2021-12-01 16:00:40,0 B
2021-12-01 16:01:00,0 B
2021-12-01 16:01:20,0 B
2021-12-01 16:01:40,0 B
2021-12-01 16:02:00,0 B
2021-12-01 16:02:20,0 B
2021-12-01 16:02:40,0 B
2021-12-01 16:03:00,0 B
2021-12-01 16:03:20,0 B
2021-12-01 16:03:40,0 B
2021-12-01 16:04:00,0 B
2021-12-01 16:04:20,0 B
2021-12-01 16:04:40,0 B
2021-12-01 16:05:00,0 B
2021-12-01 16:05:20,0 B
2021-12-01 16:05:40,0 B
2021-12-01 16:06:00,0 B
2021-12-01 16:06:20,0 B
2021-12-01 16:06:40,0 B
2021-12-01 16:07:00,0 B
2021-12-01 16:07:20,0 B
2021-12-01 16:07:40,0 B
2021-12-01 16:08:00,0 B
2021-12-01 16:08:20,0 B
2021-12-01 16:08:40,0 B
2021-12-01 16:09:00,0 B
2021-12-01 16:09:20,0 B
2021-12-01 16:09:40,0 B
2021-12-01 16:10:00,0 B
2021-12-01 16:10:20,0 B
2021-12-01 16:10:40,0 B
2021-12-01 16:11:00,0 B
2021-12-01 16:11:20,0 B
2021-12-01 16:11:40,0 B
2021-12-01 16:12:00,0 B
2021-12-01 16:12:20,0 B
2021-12-01 16:12:40,0 B
2021-12-01 16:13:00,0 B
2021-12-01 16:13:20,0 B
2021-12-01 16:13:40,0 B
2021-12-01 16:14:00,0 B
2021-12-01 16:14:20,0 B
2021-12-01 16:14:40,0 B
2021-12-01 16:15:00,0 B
2021-12-01 16:15:20,0 B
2021-12-01 16:15:40,0 B
2021-12-01 16:16:00,0 B
2021-12-01 16:16:20,0 B
2021-12-01 16:16:40,0 B
2021-12-01 16:17:00,0 B
2021-12-01 16:17:20,0 B
2021-12-01 16:17:40,0 B
2021-12-01 16:18:00,0 B
2021-12-01 16:18:20,0 B
2021-12-01 16:18:40,0 B
2021-12-01 16:19:00,0 B
2021-12-01 16:19:20,0 B
2021-12-01 16:19:40,0 B
2021-12-01 16:20:00,0 B
2021-12-01 16:20:20,0 B
2021-12-01 16:20:40,0 B
2021-12-01 16:21:00,0 B
2021-12-01 16:21:20,0 B
2021-12-01 16:21:40,0 B
2021-12-01 16:22:00,0 B
2021-12-01 16:22:20,0 B
